 Eigenvectors after division by SQRT(mass)

 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =   92.668788 THz   582.255166 2PiTHz 3091.098034 cm-1   383.247139 meV
             X         Y         Z           dx          dy          dz
4.638797 8.575307 10.669088 -0.000027 0.000068 -0.000144
3.123484 1.861451 4.711497 0.002491 -0.001426 0.000299
4.450535 9.238230 9.412899 0.002491 -0.001426 0.000299
2.157608 1.918712 5.685533 0.000454 -0.002086 0.004037
5.416411 9.180969 8.438863 0.000454 -0.002086 0.004037
0.941986 2.639235 5.465655 0.000628 0.000065 -0.001088
6.632033 8.460445 8.658740 0.000628 0.000065 -0.001088
0.716085 3.282691 4.275831 0.004836 -0.002908 0.000902
6.857934 7.816990 9.848564 0.004836 -0.002908 0.000902
1.695335 3.253034 3.231222 -0.000096 -0.000067 0.000175
5.878684 7.846646 10.893173 -0.000096 -0.000067 0.000175
1.495953 3.915837 2.020092 0.000499 -0.000282 0.000061
6.078067 7.183844 12.104303 0.000499 -0.000282 0.000061
5.098186 7.196984 13.124433 0.000002 -0.000010 -0.000041
2.475833 3.902697 0.999962 0.000002 -0.000010 -0.000041
6.371443 10.622440 13.549097 -0.000054 -0.000022 -0.000005
1.202576 0.477240 0.575299 -0.000054 -0.000022 -0.000005
5.967171 7.163488 0.814803 0.000051 0.000016 0.000018
1.606848 3.936193 13.309592 0.000051 0.000016 0.000018
4.983276 6.594891 1.657242 -0.000792 -0.000330 -0.000270
2.590743 4.504789 12.467153 -0.000792 -0.000330 -0.000270
5.173897 6.492191 3.035826 0.000569 0.000306 -0.000385
2.400122 4.607490 11.088569 0.000569 0.000306 -0.000385
4.187287 5.905941 3.892689 -0.014063 -0.005603 -0.007289
3.386732 5.193740 10.231706 -0.014063 -0.005603 -0.007289
4.399320 5.810569 5.245598 -0.009122 -0.006006 0.010446
3.174700 5.289111 8.878798 -0.009122 -0.006006 0.010446
5.610011 6.298359 5.829263 -0.003902 0.004193 -0.042511
1.964008 4.801322 8.295133 -0.003902 0.004193 -0.042511
6.586600 6.858686 5.043521 -0.028902 -0.011480 -0.011802
0.987419 4.240994 9.080875 -0.028902 -0.011480 -0.011802
6.411273 6.979367 3.626882 -0.000112 -0.000257 0.001303
1.162747 4.120314 10.497514 -0.000112 -0.000257 0.001303
1.121506 7.547218 2.807259 -0.000450 -0.000146 -0.000330
6.452513 3.552463 11.317137 -0.000450 -0.000146 -0.000330
